time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
65,2,3,6,2.6666666666666665,7,{L},2
65,3,3,1,2.6666666666666665,3,{L},2
65,4,3,2,0.26666666666666666,3,{L},0
65,5,3,4,0,0.799999999999996,{L},0
65,6,2,9,0,-1.4000000000000048,{L},0
65,7,2,8,0,-3.0000000000000018,{L},0
65,8,2,6,0,-4.533333333333334,{L},0
65,9,2,1,0,-6.133333333333337,{L},0
65,10,2,2,0,-7.466666666666672,{L},0
65,11,2,4,0,-8.93333333333334,{L},0
65,12,1,9,0,-10.200000000000006,{L},0
65,13,1,8,0,-11.400000000000006,{L},0
65,14,1,6,0,-12.666666666666671,{L},0
65,15,1,1,0,-13.933333333333337,{L},0
65,16,1,2,0,-15.200000000000003,{L},0
65,17,1,4,0,-16.400000000000002,{L},0
