time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
63,1,3,8,2.6666666666666665,7,{L},3
63,2,3,6,2.6666666666666665,7,{L},2
63,3,3,1,2.6666666666666665,3,{L},2
63,4,3,2,0.26666666666666666,3,{L},1
63,5,3,4,0,0.799999999999996,{L},1
63,6,2,9,0,-1.4000000000000048,{L},1
63,7,2,8,0,-3.0000000000000018,{L},1
63,8,2,6,0,-4.533333333333334,{L},1
63,9,2,1,0,-6.133333333333337,{L},1
63,10,2,2,0,-7.466666666666672,{L},1
63,11,2,4,0,-8.93333333333334,{L},1
63,12,1,9,0,-10.200000000000006,{L},1
63,13,1,8,0,-11.400000000000006,{L},1
63,14,1,6,0,-12.666666666666671,{L},1
63,15,1,1,0,-13.933333333333337,{L},1
63,16,1,2,0,-15.200000000000003,{L},1
63,17,1,4,0,-16.400000000000002,{L},1
